onboard,engage,run,t,S
False,False,0,66,4.288214481739681
False,False,0,67,2.4051498029487686
False,False,0,68,1.7407012048507908
False,False,0,69,0.9420452352542067
False,False,0,70,0
False,False,0,71,1.5518164063539652
False,False,0,72,0.9327180547071353
False,False,0,73,0.8613494748283788
False,False,0,74,1.8021458217547415
False,False,0,75,0
False,False,0,76,2.623438373481657
False,False,0,77,1.757412194841816
False,False,0,78,0.8443774873329858
False,False,0,79,2.6423734827102665
False,False,0,80,0.9420452352542067
False,False,0,81,1.7573251985448584
False,False,0,82,3.7250223089449253
False,False,0,83,1.7662866870944676
False,False,0,84,0.9514656876067488
False,False,0,85,2.734781415212343
False,False,0,86,0.9234832224823122
False,False,0,87,0.9802960494069208
False,False,0,88,0
False,False,0,89,0
False,False,0,90,0
False,False,0,91,0.9420452352542067
False,False,0,92,1.9124460320895649
False,False,0,93,0
False,False,0,94,0.9609803444828162
False,False,0,95,0
False,False,0,96,3.882552787779474
False,False,0,97,0
False,False,0,98,0
False,False,0,99,0
False,True,0,0,3.5773025312863487
False,True,0,1,12.757478914250509
False,True,0,2,10.975410332025412
False,True,0,3,10.08823144061758
False,True,0,4,8.222688270318642
False,True,0,5,10.327382009478692
False,True,0,6,13.251367396008616
False,True,0,7,13.055678432519201
False,True,0,8,4.743976059812012
False,True,0,9,7.882530690982513
False,True,0,10,12.9298760319036
False,True,0,11,3.709878666102971
False,True,0,12,7.441676031211237
False,True,0,13,9.464581488896702
False,True,0,14,6.880436219264313
False,True,0,15,10.91501677724884
False,True,0,16,7.971928910508318
False,True,0,17,12.498627752224923
False,True,0,18,7.886880901028614
False,True,0,19,13.08191873638545
False,True,0,20,3.7026702616030045
False,True,0,21,11.608862696853798
False,True,0,22,14.025716458269189
False,True,0,23,11.448662078414623
False,True,0,24,9.598449801134413
False,True,0,25,11.360324421447237
False,True,0,26,4.830003343125583
False,True,0,27,10.53744646923829
False,True,0,28,6.283668565343293
False,True,0,29,11.68264135972609
False,True,0,30,5.237256543866791
False,True,0,31,9.332675567616828
False,True,0,32,8.377456288017417
False,True,0,33,5.610182049486345
False,True,0,34,9.363641555978568
False,True,0,35,11.959839438963936
False,True,0,36,9.267051425157863
False,True,0,37,5.413715546927619
False,True,0,38,12.591755789249868
False,True,0,39,10.56503650017686
False,True,0,40,3.9915964396893124
False,True,0,41,9.862167508650984
False,True,0,42,11.682416346791133
False,True,0,43,6.857080855505774
False,True,0,44,2.593371402516493
False,True,0,45,6.52355128161388
False,True,0,46,3.974900497476012
False,True,0,47,5.185833334297879
False,True,0,48,6.46668623509244
False,True,0,49,3.77791001983778
False,True,0,50,7.300308489287258
False,True,0,51,6.158240417154285
False,True,0,52,4.3694172111083125
False,True,0,53,3.5738383512765717
False,True,0,54,3.124294628552735
False,True,0,55,1.675252376852523
False,True,0,56,6.222551577433798
False,True,0,57,5.294219962013516
False,True,0,58,8.086279727409005
False,True,0,59,4.861993923491123
False,True,0,60,2.284149663026042
False,True,0,61,6.123733704177512
False,True,0,62,6.556525790111342
False,True,0,63,11.724098075289993
False,True,0,64,8.453671257425933
False,True,0,65,6.027917288351267
False,True,0,66,7.28739289997339
False,True,0,67,1.7969976586738912
False,True,0,68,5.145557518178025
False,True,0,69,3.231731493157557
False,True,0,70,1.6148263752357257
False,True,0,71,2.4455905431006166
False,True,0,72,3.6363529955528437
False,True,0,73,0.8786625992724292
False,True,0,74,3.522787915713522
False,True,0,75,2.5588015459740534
False,True,0,76,1.79264743503561
False,True,0,77,5.271411571283105
False,True,0,78,2.7912284971543864
False,True,0,79,4.675893424425662
False,True,0,80,2.794097656096053
False,True,0,81,1.7402704874714692
False,True,0,82,3.5426069634371227
False,True,0,83,1.8484295697479696
False,True,0,84,6.585408814769446
False,True,0,85,4.777576907095282
False,True,0,86,2.8676472450671335
False,True,0,87,0
False,True,0,88,4.798976678182797
False,True,0,89,0.9514656876067488
False,True,0,90,0
False,True,0,91,0.9802960494069208
False,True,0,92,0
False,True,0,93,0.9705901479276444
False,True,0,94,0
False,True,0,95,0
False,True,0,96,0
False,True,0,97,0
False,True,0,98,1.970395059307911
False,True,0,99,0
True,False,0,0,7.462976331212817
True,False,0,1,7.617586572065239
True,False,0,2,5.395725650938804
True,False,0,3,3.99536952897581
True,False,0,4,8.937675601035533
True,False,0,5,2.0993809898453533
True,False,0,6,3.767640287604063
True,False,0,7,6.170886974266471
True,False,0,8,2.265455914246382
True,False,0,9,4.180531428068809
True,False,0,10,10.963640973769873
True,False,0,11,4.243252657431394
True,False,0,12,5.984694767404919
True,False,0,13,5.7173713610667125
True,False,0,14,6.176080384349217
True,False,0,15,4.209495544841022
True,False,0,16,10.37669525135139
True,False,0,17,2.921843580397542
True,False,0,18,5.647425294717575
True,False,0,19,6.001691574737279
True,False,0,20,9.170704763680014
True,False,0,21,3.8175295943820764
True,False,0,22,5.20495561112507
True,False,0,23,6.836090711723118
True,False,0,24,3.7734507842515725
True,False,0,25,5.149529923644992
True,False,0,26,3.392201862561745
True,False,0,27,9.15705905793737
True,False,0,28,1.529110589958779
True,False,0,29,8.377252763384549
True,False,0,30,9.22212901358299
True,False,0,31,5.1199721630425215
True,False,0,32,2.3504432983563666
True,False,0,33,2.7830970136469046
True,False,0,34,3.6134573453941177
True,False,0,35,4.504727558465906
True,False,0,36,5.716532656487566
True,False,0,37,9.057931124898513
True,False,0,38,4.40145060078553
True,False,0,39,5.3934078900219475
True,False,0,40,3.095722711127662
True,False,0,41,4.388410872640427
True,False,0,42,2.3331607263758927
True,False,0,43,2.7160315897667893
True,False,0,44,3.0779984963911344
True,False,0,45,4.729811423342452
True,False,0,46,4.183338296814539
True,False,0,47,3.16442158064487
True,False,0,48,1.526664864667927
True,False,0,49,5.107930361965414
True,False,0,50,6.338029657858583
True,False,0,51,9.418463076236318
True,False,0,52,0.7568355684346453
True,False,0,53,4.772981726357518
True,False,0,54,3.0167374216754252
True,False,0,55,3.332184514259327
True,False,0,56,2.3548740173002183
True,False,0,57,5.163502470448024
True,False,0,58,2.386123556417635
True,False,0,59,4.098854729036148
True,False,0,60,2.5763654838897603
True,False,0,61,3.2768196258941398
True,False,0,62,4.538232560789916
True,False,0,63,3.413618570620901
True,False,0,64,3.139952989314501
True,False,0,65,5.735426771526143
True,False,0,66,3.5245046938324385
True,False,0,67,1.6148263752357257
True,False,0,68,2.5889370051838867
True,False,0,69,1.598996296074509
True,False,0,70,3.5000274740991024
True,False,0,71,1.602163409171311
True,False,0,72,1.766636429521362
True,False,0,73,1.667217668258937
True,False,0,74,3.5190466738882296
True,False,0,75,2.8295487966069945
True,False,0,76,3.620851126882717
True,False,0,77,4.493525224583284
True,False,0,78,0
True,False,0,79,0.9609803444828162
True,False,0,80,1.761589705591502
True,False,0,81,4.513000623414493
True,False,0,82,0
True,False,0,83,4.680943747782248
True,False,0,84,0.914339824239913
True,False,0,85,2.8552449594959817
True,False,0,86,0
True,False,0,87,1.8589586486793501
True,False,0,88,0.9802960494069208
True,False,0,89,0.9705901479276444
True,False,0,90,1.912635383181851
True,False,0,91,0.9327180547071353
True,False,0,92,0
True,False,0,93,0.9705901479276444
True,False,0,94,0.9802960494069208
True,False,0,95,0.9900990099009901
True,False,0,96,0.9802960494069208
True,False,0,97,0
True,False,0,98,0
True,False,0,99,0
True,True,0,0,6.815655985709614
True,True,0,1,6.486944041537751
True,True,0,2,12.813434998335024
True,True,0,3,18.049888081174462
True,True,0,4,14.67911924851817
True,True,0,5,11.926118169427504
True,True,0,6,8.55479760443496
True,True,0,7,17.15516542421338
True,True,0,8,11.659802109884577
True,True,0,9,10.515078734292057
True,True,0,10,17.975902605569694
True,True,0,11,10.666296628952063
True,True,0,12,7.128088024816163
True,True,0,13,9.439639500241373
True,True,0,14,8.221175068518985
True,True,0,15,16.06253377102932
True,True,0,16,6.127274073208532
True,True,0,17,17.276427451533834
True,True,0,18,9.468609348163934
True,True,0,19,7.3031470904294045
True,True,0,20,9.521685775506917
True,True,0,21,6.203439737863711
True,True,0,22,11.986011813620879
True,True,0,23,10.452996272703425
True,True,0,24,7.943202948117815
True,True,0,25,12.157830761537598
True,True,0,26,8.800514623817449
True,True,0,27,7.12345943867577
True,True,0,28,13.01924438141364
True,True,0,29,3.168529758274644
True,True,0,30,13.220108824956979
True,True,0,31,10.299704184279866
True,True,0,32,5.956313218941045
True,True,0,33,11.099237801984573
True,True,0,34,6.363197812866168
True,True,0,35,8.57926344312461
True,True,0,36,12.993289576588987
True,True,0,37,6.100263500152021
True,True,0,38,8.00753177615368
True,True,0,39,7.8457122928256755
True,True,0,40,10.46244958550024
True,True,0,41,5.746003223726178
True,True,0,42,7.398973105006169
True,True,0,43,11.197514442387641
True,True,0,44,7.727465698809001
True,True,0,45,7.563557515617598
True,True,0,46,8.031304816676498
True,True,0,47,9.51598497589389
True,True,0,48,8.47805705518959
True,True,0,49,8.532766539551137
True,True,0,50,7.707117443726206
True,True,0,51,4.504029525214264
True,True,0,52,10.374835187051438
True,True,0,53,7.138631841450806
True,True,0,54,4.854552456906802
True,True,0,55,5.469997562324634
True,True,0,56,7.56909820127402
True,True,0,57,6.720737077218225
True,True,0,58,2.3997587867896404
True,True,0,59,4.4288677929197835
True,True,0,60,6.937331479212297
True,True,0,61,4.476120636374814
True,True,0,62,11.622895117112659
True,True,0,63,7.842389108545683
True,True,0,64,3.444329885936026
True,True,0,65,5.142256012987782
True,True,0,66,4.36404737633111
True,True,0,67,1.7019059516636343
True,True,0,68,2.5993952219266796
True,True,0,69,0
True,True,0,70,1.6420109329368442
True,True,0,71,6.007186112149595
True,True,0,72,3.4080428695624474
True,True,0,73,4.3329640308090696
True,True,0,74,4.4146207353289455
True,True,0,75,1.822329819311195
True,True,0,76,7.036339037209205
True,True,0,77,1.6720346283821501
True,True,0,78,1.782020316578432
True,True,0,79,0.8528212622063156
True,True,0,80,4.786541307975443
True,True,0,81,3.808094161300738
True,True,0,82,0.914339824239913
True,True,0,83,0.8699629695766625
True,True,0,84,2.7300249490543154
True,True,0,85,2.8199389931621663
True,True,0,86,1.8953859645939732
True,True,0,87,0
True,True,0,88,0
True,True,0,89,1.9801980198019802
True,True,0,90,1.9315704924104606
True,True,0,91,0
True,True,0,92,0.9705901479276444
True,True,0,93,1.9508861973345653
True,True,0,94,2.9411783642847964
True,True,0,95,0.9900990099009901
True,True,0,96,0
True,True,0,97,0.9802960494069208
True,True,0,98,0
True,True,0,99,0
